"PERIOD","SECTOR","CLASSIFICATION","UNIT_MEAS","VALUE","STATUS"
"1995","S1","B1GQ","MCHF","423515.355497934","A"
"1995","S1","B1GQ","AC",,"O"
"1995","S1","B1GQ","ACPP",,"O"
"1995","S1","P3","MCHF","284803.462619628","A"
"1995","S1","P3","AC",,"O"
"1995","S1","P3","ACPP",,"O"
"1995","S1","P5","MCHF","124902.229872838","A"
"1995","S1","P5","AC",,"O"
"1995","S1","P5","ACPP",,"O"
"1995","S1","P51G","MCHF","112691.994162133","A"
"1995","S1","P51G","AC",,"O"
"1995","S1","P51G","ACPP",,"O"
"1995","S1","P5111_N113T117G","MCHF","65334.0550502933","A"
"1995","S1","P5111_N113T117G","AC",,"O"
"1995","S1","P5111_N113T117G","ACPP",,"O"
"1995","S1","P5111_N111_112G","MCHF","47357.9391118395","A"
"1995","S1","P5111_N111_112G","AC",,"O"
"1995","S1","P5111_N111_112G","ACPP",,"O"
"1995","S1","P52","MCHF","13672.1389012553","A"
"1995","S1","P52","AC",,"O"
"1995","S1","P52","ACPP",,"O"
"1995","S1","P53","MCHF","-1461.90319055038","A"
"1995","S1","P53","AC",,"O"
"1995","S1","P53","ACPP",,"O"
"1995","S13","P3","MCHF","50375.48321203","A"
"1995","S13","P3","AC",,"O"
"1995","S13","P3","ACPP",,"O"
"1995","S14_S15","P3","MCHF","234427.979407598","A"
"1995","S14_S15","P3","AC",,"O"
"1995","S14_S15","P3","ACPP",,"O"
"1995","S2","P7","MCHF","152204.991813522","A"
"1995","S2","P7","AC",,"O"
"1995","S2","P7","ACPP",,"O"
"1995","S2","P71","MCHF","113176.863507269","A"
"1995","S2","P71","AC",,"O"
"1995","S2","P71","ACPP",,"O"
"1995","S2","P71XF11","MCHF","96359.6771357908","A"
"1995","S2","P71XF11","AC",,"O"
"1995","S2","P71XF11","ACPP",,"O"
"1995","S2","P72","MCHF","39028.1283062529","A"
"1995","S2","P72","AC",,"O"
"1995","S2","P72","ACPP",,"O"
"1995","S2","P6","MCHF","166014.65481899","A"
"1995","S2","P6","AC",,"O"
"1995","S2","P6","ACPP",,"O"
"1995","S2","P61","MCHF","116980.224873847","A"
"1995","S2","P61","AC",,"O"
"1995","S2","P61","ACPP",,"O"
"1995","S2","P61XF11","MCHF","99600.1117798474","A"
"1995","S2","P61XF11","AC",,"O"
"1995","S2","P61XF11","ACPP",,"O"
"1995","S2","P62","MCHF","49034.4299451431","A"
"1995","S2","P62","AC",,"O"
"1995","S2","P62","ACPP",,"O"
"1996","S1","B1GQ","MCHF","426881.828001798","A"
"1996","S1","B1GQ","AC","0.794887944477593","A"
"1996","S1","B1GQ","ACPP","0.560166837778509","A"
"1996","S1","P3","MCHF","290986.473262636","A"
"1996","S1","P3","AC","2.17097453315205","A"
"1996","S1","P3","ACPP","1.4428965536114","A"
"1996","S1","P5","MCHF","123872.5174304","A"
"1996","S1","P5","AC","-0.824414779052463","A"
"1996","S1","P5","ACPP","-0.873839543022615","A"
"1996","S1","P51G","MCHF","108783.763410804","A"
"1996","S1","P51G","AC","-3.46806424039843","A"
"1996","S1","P51G","ACPP","-1.24943018792192","A"
"1996","S1","P5111_N113T117G","MCHF","65654.5475683791","A"
"1996","S1","P5111_N113T117G","AC","0.490544353689919","A"
"1996","S1","P5111_N113T117G","ACPP","2.46836536465196","A"
"1996","S1","P5111_N111_112G","MCHF","43129.2158424248","A"
"1996","S1","P5111_N111_112G","AC","-8.92928059945394","A"
"1996","S1","P5111_N111_112G","ACPP","-6.37842574501259","A"
"1996","S1","P52","MCHF","14030.8447830544","A"
"1996","S1","P52","AC","2.62362666434055","A"
"1996","S1","P52","ACPP","-14.9254598915018","A"
"1996","S1","P53","MCHF","1057.90923654166","A"
"1996","S1","P53","AC","172.365204712589","A"
"1996","S1","P53","ACPP","161.24134230919","A"
"1996","S13","P3","MCHF","51368.91962954","A"
"1996","S13","P3","AC","1.97206330176254","A"
"1996","S13","P3","ACPP","1.18275793039295","A"
"1996","S14_S15","P3","MCHF","239617.553633096","A"
"1996","S14_S15","P3","AC","2.21371793529571","A"
"1996","S14_S15","P3","ACPP","1.49879691533382","A"
"1996","S2","P7","MCHF","160069.809149149","A"
"1996","S2","P7","AC","5.16725321680843","A"
"1996","S2","P7","ACPP","4.32424542978546","A"
"1996","S2","P71","MCHF","117968.252744554","A"
"1996","S2","P71","AC","4.23354128114465","A"
"1996","S2","P71","ACPP","4.0262096754083","A"
"1996","S2","P71XF11","MCHF","98482.0942325513","A"
"1996","S2","P71XF11","AC","2.2025988046531","A"
"1996","S2","P71XF11","ACPP","3.1884849441419","A"
"1996","S2","P72","MCHF","42101.5564045951","A"
"1996","S2","P72","AC","7.87490518178351","A"
"1996","S2","P72","ACPP","5.18851316070878","A"
"1996","S2","P6","MCHF","172092.646457911","A"
"1996","S2","P6","AC","3.66111753540541","A"
"1996","S2","P6","ACPP","3.57566969693873","A"
"1996","S2","P61","MCHF","120230.202278142","A"
"1996","S2","P61","AC","2.77822803623367","A"
"1996","S2","P61","ACPP","3.03485129261731","A"
"1996","S2","P61XF11","MCHF","101867.311848142","A"
"1996","S2","P61XF11","AC","2.27630273478584","A"
"1996","S2","P61XF11","ACPP","3.70355087947991","A"
"1996","S2","P62","MCHF","51862.4441797695","A"
"1996","S2","P62","AC","5.7674051432641","A"
"1996","S2","P62","ACPP","4.86588676735663","A"
"1997","S1","B1GQ","MCHF","433747.492069234","A"
"1997","S1","B1GQ","AC","1.60832896063367","A"
"1997","S1","B1GQ","ACPP","2.09761684983849","A"
"1997","S1","P3","MCHF","297390.187981525","A"
"1997","S1","P3","AC","2.20069154661671","A"
"1997","S1","P3","ACPP","1.71293737836438","A"
"1997","S1","P5","MCHF","119027.077496136","A"
"1997","S1","P5","AC","-3.91163434374092","A"
"1997","S1","P5","ACPP","-2.84752117686044","A"
"1997","S1","P51G","MCHF","111258.095431986","A"
"1997","S1","P51G","AC","2.27454166283821","A"
"1997","S1","P51G","ACPP","4.31025347086083","A"
"1997","S1","P5111_N113T117G","MCHF","70064.8516785962","A"
"1997","S1","P5111_N113T117G","AC","6.71743888818022","A"
"1997","S1","P5111_N113T117G","ACPP","8.14956571533436","A"
"1997","S1","P5111_N111_112G","MCHF","41193.2437533898","A"
"1997","S1","P5111_N111_112G","AC","-4.4887718248998","A"
"1997","S1","P5111_N111_112G","ACPP","-1.53423740292629","A"
"1997","S1","P52","MCHF","8148.8453773412","A"
"1997","S1","P52","AC","-41.9219191478556","A"
"1997","S1","P52","ACPP","-43.2995064231566","A"
"1997","S1","P53","MCHF","-379.86331319123","A"
"1997","S1","P53","AC","-135.906985218601","A"
"1997","S1","P53","ACPP","-202.367603219422","A"
"1997","S13","P3","MCHF","51100.12369112","A"
"1997","S13","P3","AC","-0.523265702994127","A"
"1997","S13","P3","ACPP","0.405219352254352","A"
"1997","S14_S15","P3","MCHF","246290.064290404","A"
"1997","S14_S15","P3","AC","2.78465018782636","A"
"1997","S14_S15","P3","ACPP","1.99328437783423","A"
"1997","S2","P7","MCHF","181593.662683337","A"
"1997","S2","P7","AC","13.4465416361758","A"
"1997","S2","P7","ACPP","11.5879221731528","A"
"1997","S2","P71","MCHF","136402.924844773","A"
"1997","S2","P71","AC","15.6268077820368","A"
"1997","S2","P71","ACPP","14.169271324608","A"
"1997","S2","P71XF11","MCHF","111698.719886226","A"
"1997","S2","P71XF11","AC","13.4203336725001","A"
"1997","S2","P71XF11","ACPP","11.7292441057653","A"
"1997","S2","P72","MCHF","45190.7378385639","A"
"1997","S2","P72","AC","7.33745186111827","A"
"1997","S2","P72","ACPP","4.35500075346937","A"
"1997","S2","P6","MCHF","198923.88927491","A"
"1997","S2","P6","AC","15.5911617197197","A"
"1997","S2","P6","ACPP","15.134865257589","A"
"1997","S2","P61","MCHF","140822.009365909","A"
"1997","S2","P61","AC","17.1269836510214","A"
"1997","S2","P61","ACPP","16.7488870497532","A"
"1997","S2","P61XF11","MCHF","114353.251504909","A"
"1997","S2","P61XF11","AC","12.2570620842343","A"
"1997","S2","P61XF11","ACPP","11.8749401743305","A"
"1997","S2","P62","MCHF","58101.8799090007","A"
"1997","S2","P62","AC","12.0307398309335","A"
"1997","S2","P62","ACPP","11.3931564040576","A"
"1998","S1","B1GQ","MCHF","444954.842817937","A"
"1998","S1","B1GQ","AC","2.58384220165464","A"
"1998","S1","B1GQ","ACPP","2.77611377234191","A"
"1998","S1","P3","MCHF","303294.526970594","A"
"1998","S1","P3","AC","1.98538459830978","A"
"1998","S1","P3","ACPP","2.04359254950843","A"
"1998","S1","P5","MCHF","127529.67451427","A"
"1998","S1","P5","AC","7.14341408442167","A"
"1998","S1","P5","ACPP","10.1886259365704","A"
"1998","S1","P51G","MCHF","119648.179259463","A"
"1998","S1","P51G","AC","7.54109963405441","A"
"1998","S1","P51G","ACPP","8.26393069123458","A"
"1998","S1","P5111_N113T117G","MCHF","78187.2446415282","A"
"1998","S1","P5111_N113T117G","AC","11.5926784519452","A"
"1998","S1","P5111_N113T117G","ACPP","12.5277506209468","A"
"1998","S1","P5111_N111_112G","MCHF","41460.9346179352","A"
"1998","S1","P5111_N111_112G","AC","0.649841673425795","A"
"1998","S1","P5111_N111_112G","ACPP","1.01167561882494","A"
"1998","S1","P52","MCHF","6071.35002944301","A"
"1998","S1","P52","AC","-25.4943522879315","A"
"1998","S1","P52","ACPP","30.9705926930027","A"
"1998","S1","P53","MCHF","1810.14522536401","A"
"1998","S1","P53","AC","576.525413880321","A"
"1998","S1","P53","ACPP","107.719295130018","A"
"1998","S13","P3","MCHF","51650.68439076","A"
"1998","S13","P3","AC","1.0774155909444","A"
"1998","S13","P3","ACPP","1.51970530200892","A"
"1998","S14_S15","P3","MCHF","251643.842579834","A"
"1998","S14_S15","P3","AC","2.17376949608368","A"
"1998","S14_S15","P3","ACPP","2.15228838027429","A"
"1998","S2","P7","MCHF","187765.94851661","A"
"1998","S2","P7","AC","3.39895442498795","A"
"1998","S2","P7","ACPP","6.02006398786787","A"
"1998","S2","P71","MCHF","137320.189144143","A"
"1998","S2","P71","AC","0.672466738095282","A"
"1998","S2","P71","ACPP","4.85910817090411","A"
"1998","S2","P71XF11","MCHF","117416.157049927","A"
"1998","S2","P71XF11","AC","5.11862371343621","A"
"1998","S2","P71XF11","ACPP","8.1686937927987","A"
"1998","S2","P72","MCHF","50445.7593724666","A"
"1998","S2","P72","AC","11.6285366985496","A"
"1998","S2","P72","ACPP","9.52427251872022","A"
"1998","S2","P6","MCHF","201896.589849683","A"
"1998","S2","P6","AC","1.49439093796579","A"
"1998","S2","P6","ACPP","2.39725412542485","A"
"1998","S2","P61","MCHF","139214.352827292","A"
"1998","S2","P61","AC","-1.14162306436057","A"
"1998","S2","P61","ACPP","0.74370143971358","A"
"1998","S2","P61XF11","MCHF","117258.191137292","A"
"1998","S2","P61XF11","AC","2.54032097395855","A"
"1998","S2","P61XF11","ACPP","2.69820943572405","A"
"1998","S2","P62","MCHF","62682.2370223912","A"
"1998","S2","P62","AC","7.8833199899286","A"
"1998","S2","P62","ACPP","6.40498351660729","A"
"1999","S1","B1GQ","MCHF","453531.10713721","A"
"1999","S1","B1GQ","AC","1.92744599990394","A"
"1999","S1","B1GQ","ACPP","1.6800755910613","A"
"1999","S1","P3","MCHF","311664.236599454","A"
"1999","S1","P3","AC","2.75959797641554","A"
"1999","S1","P3","ACPP","2.27909435790192","A"
"1999","S1","P5","MCHF","127162.501994344","A"
"1999","S1","P5","AC","-0.287911438122094","A"
"1999","S1","P5","ACPP","1.39917856112933","A"
